date,place,section,subject,time,title,url
22 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы","Внешняя политика, Инвестиции",16:00,Встреча с председателем правления концерна BASF Куртом Боком,http://kremlin.ru/catalog/keywords/82/events/54088
22 марта 2017 года,Москва,"Администрация Президента, Комиссии и Советы, Совет по межнациональным отношениям","Внешняя политика, Межнациональные отношения",18:00,Магомедсалам Магомедов встретился с уполномоченным правительства Германии по делам переселенцев и нацменьшинств Хартмутом Кошиком,http://kremlin.ru/catalog/keywords/82/events/54090
23 марта 2017 года,,Новости,"Борьба с терроризмом, Внешняя политика",10:45,Соболезнования Премьер-министру Великобритании Терезе Мэй,http://kremlin.ru/catalog/keywords/82/events/54094
23 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,16:30,Встреча с Президентом Шри-Ланки Майтрипалой Сирисеной,http://kremlin.ru/catalog/keywords/82/events/54099
24 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,14:00,Встреча с Марин Ле Пен,http://kremlin.ru/catalog/keywords/82/events/54102
,,Анонсы,"Внешняя политика, Туризм, Экология",,29–30 марта Владимир Путин посетит Архангельскую область,http://kremlin.ru/catalog/keywords/82/events/54108
27 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,15:30,Встреча с Премьер-министром Сербии Александром Вучичем,http://kremlin.ru/catalog/keywords/82/events/54109
28 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,17:30,Встреча с Президентом Ирана Хасаном Рухани,http://kremlin.ru/catalog/keywords/82/events/54119
28 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,17:40,Заявления для прессы по итогам переговоров с Президентом Ирана Хасаном Рухани,http://kremlin.ru/catalog/keywords/82/events/54138
31 марта 2017 года,,Новости,Внешняя политика,19:00,Приветственное послание участникам торжественных собраний по случаю Дня единения народов России и Беларуси,http://kremlin.ru/catalog/keywords/82/events/54162
2 апреля 2017 года,,Новости,Внешняя политика,10:00,Поздравление с Днём единения народов России и Беларуси,http://kremlin.ru/catalog/keywords/82/events/54164
,,"Новости, Анонсы",Внешняя политика,,5 апреля Владимир Путин встретится с Президентом Узбекистана Шавкатом Мирзиёевым,http://kremlin.ru/catalog/keywords/82/events/54168
3 апреля 2017 года,,Новости,Внешняя политика,12:20,Поздравление Александру Вучичу с избранием на пост Президента Сербии,http://kremlin.ru/catalog/keywords/82/events/54170
3 апреля 2017 года,Санкт-Петербург,"Новости, Выступления и стенограммы",Внешняя политика,20:30,Встреча с Президентом Белоруссии Александром Лукашенко,http://kremlin.ru/catalog/keywords/82/events/54176
3 апреля 2017 года,Санкт-Петербург,"Новости, Выступления и стенограммы",Внешняя политика,20:50,Заявления для прессы по итогам встречи с Президентом Белоруссии Александром Лукашенко,http://kremlin.ru/catalog/keywords/82/events/54178
4 апреля 2017 года,,Новости,Внешняя политика,02:15,Телефонный разговор с Президентом США Дональдом Трампом,http://kremlin.ru/catalog/keywords/82/events/54181
4 апреля 2017 года,Поздравления,Телеграммы,Внешняя политика,10:00,"Ильхаму Алиеву, Президенту Азербайджанской Республики",http://kremlin.ru/catalog/keywords/82/events/54182
4 апреля 2017 года,,Документы,"Внешняя политика, Пенсии",10:40,"Подписан закон о ратификации соглашения о пенсионном обеспечении граждан России, постоянно проживающих в Южной Осетии",http://kremlin.ru/catalog/keywords/82/events/54187
4 апреля 2017 года,,Новости,Внешняя политика,14:35,Телефонный разговор с Ангелой Меркель и Франсуа Олландом,http://kremlin.ru/catalog/keywords/82/events/54202
4 апреля 2017 года,,Новости,Внешняя политика,14:45,Телефонный разговор с Президентом Турции Реджепом Тайипом Эрдоганом,http://kremlin.ru/catalog/keywords/82/events/54203
4 апреля 2017 года,,Новости,Внешняя политика,15:45,Телефонный разговор с Премьер-министром Японии Синдзо Абэ,http://kremlin.ru/catalog/keywords/82/events/54207
4 апреля 2017 года,,Новости,Внешняя политика,15:55,Телефонный разговор с Королём Саудовской Аравии Сальманом Бен Абдель Азизом Аль Саудом,http://kremlin.ru/catalog/keywords/82/events/54208
5 апреля 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы","Борьба с терроризмом, Внешняя политика, СНГ",13:00,Встреча с руководителями органов безопасности и спецслужб государств – участников СНГ,http://kremlin.ru/catalog/keywords/82/events/54217
6 апреля 2017 года,,Новости,"Борьба с терроризмом, Внешняя политика",16:45,Телефонный разговор с Премьер-министром Израиля Биньямином Нетаньяху,http://kremlin.ru/catalog/keywords/82/events/54239
6 апреля 2017 года,,Новости,Внешняя политика,17:30,Телефонный разговор с Премьер-министром Индии Нарендрой Моди,http://kremlin.ru/catalog/keywords/82/events/54240
7 апреля 2017 года,"Москва, Кремль","Новости, Совет Безопасности","Борьба с терроризмом, Внешняя политика",14:10,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/54242
9 апреля 2017 года,,Новости,Внешняя политика,13:10,Соболезнования Президенту Египта Абдельфаттаху Сиси,http://kremlin.ru/catalog/keywords/82/events/54255
9 апреля 2017 года,,Новости,Внешняя политика,15:45,Телефонный разговор с Президентом Ирана Хасаном Рухани,http://kremlin.ru/catalog/keywords/82/events/54256
10 апреля 2017 года,,Новости,Внешняя политика,18:30,Поздравление избранному Президенту Южной Осетии Анатолию Бибилову,http://kremlin.ru/catalog/keywords/82/events/54263
11 апреля 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,13:30,Встреча с Президентом Италии Серджо Маттареллой,http://kremlin.ru/catalog/keywords/82/events/54264
11 апреля 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,15:45,Заявления для прессы по итогам встречи с Президентом Италии Серджо Маттареллой,http://kremlin.ru/catalog/keywords/82/events/54267
12 апреля 2017 года,Москва,"Новости, Выступления и стенограммы","Внешняя политика, ОДКБ",12:00,Интервью телерадиокомпании «Мир»,http://kremlin.ru/catalog/keywords/82/events/54271
13 апреля 2017 года,Поздравления,Телеграммы,Внешняя политика,10:00,"Пранабу Мукерджи, Президенту Республики Индии, и Нарендре Моди, Премьер-министру Республики Индии",http://kremlin.ru/catalog/keywords/82/events/54281
13 апреля 2017 года,"Московская область, Ново-Огарёво","Новости, Выступления и стенограммы",Внешняя политика,14:15,Встреча с Первым заместителем Премьера Госсовета Китая Чжан Гаоли,http://kremlin.ru/catalog/keywords/82/events/54284
13 апреля 2017 года,,Новости,"Борьба с терроризмом, Внешняя политика",21:30,Телефонный разговор с Президентом Турции Реджепом Тайипом Эрдоганом,http://kremlin.ru/catalog/keywords/82/events/54288
14 апреля 2017 года,Бишкек,Новости,"Внешняя политика, ОДКБ",08:30,Владимир Путин прибыл в Бишкек,http://kremlin.ru/catalog/keywords/82/events/54290
14 апреля 2017 года,Бишкек,Новости,Внешняя политика,12:20,Заседание Высшего Евразийского экономического совета,http://kremlin.ru/catalog/keywords/82/events/54291
24 апреля 2017 года,,Новости,Внешняя политика,21:30,Телефонный разговор с Президентом Киргизии Алмазбеком Атамбаевым,http://kremlin.ru/catalog/keywords/82/events/54365
26 апреля 2017 года,"Москва, Кремль",Администрация Президента,Внешняя политика,12:00,Антон Вайно встретился с руководителем Канцелярии ЦК Компартии Китая Ли Чжаньшу,http://kremlin.ru/catalog/keywords/82/events/54384
26 апреля 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы","Внешняя политика, Правопорядок, Экономика и финансы",13:00,Встреча с президентом ФАТФ Хуаном Мануэлем Вега-Серрано,http://kremlin.ru/catalog/keywords/82/events/54379
26 апреля 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,17:30,Встреча с руководителем Канцелярии ЦК Компартии Китая Ли Чжаньшу,http://kremlin.ru/catalog/keywords/82/events/54381
